Account_Name,Oracle Number,Record_Type,Account EE,Max MAU,12 Month Revenue,Account Segment,Customer Category,InsiderStatus,DIVISION,DnB_Market,DnB_Industry,First_Account_Contract,Account_Number
THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER SEATTLE,6197834,US/Canada,"2,074","2,603","$755,139",Upper Mid-market,Existing,,S&D,MEMBERSHIP ORGS,Youth organizations,08/20/15,AC-00474591
THERMA-TRU CORP.,6180556,US/Canada,"3,313","2,424","$617,959",Enterprise,Existing,,RETAIL,BUILDING-GARDEN,Door and window products,10/10/07,AC-00465854
"Thryv, Inc.",6181608,US/Canada,"1,947","2,246","$605,861",Enterprise,Existing,,S&D,BUSINESS SVCS,Transit advertising services,03/02/12,AC-03202370
TILLAMOOK COUNTY CREAMERY ASSOCIATION,6182966,US/Canada,"1,158","1,064","$403,670",Mid-market,Existing,,MFG,FOOD-KINDRED,Natural cheese,10/10/07,AC-00543415
"TKC HOLDINGS, INC",6113183,US/Canada,"6,079","5,778","$954,796",Enterprise,Existing,No,S&D,BUSINESS SVCS,Packaging and labeling services,09/24/13,AC-00795462
Toromont Industries Ltd,6149034,US/Canada,"11,400","6,968","$650,427",Enterprise,Existing,,TRANS-DIST,WHLSALE-DURABLE,General construction machinery and equipment,03/20/19,AC-00555317
"Total Safety U.S., Inc.",6195062,US/Canada,"2,214","2,225","$747,558",Upper Mid-market,Existing,No,TRANS-DIST,WHLSALE-DURABLE,Safety equipment,07/02/12,AC-00512382
"Triage, LLC",6180562,US/Canada,"3,926","2,985","$1,048,005",Enterprise,Existing,,S&D,BUSINESS SVCS,Nurses' registry,08/20/19,AC-00626709
TRUE MANUFACTURING,6085288,US/Canada,"3,347","4,782","$1,048,355",Enterprise,Existing,No,MFG,INDL MACHINERY,"Refrigeration equipment, complete",06/08/06,AC-00654391
"True North Energy, LLC",6194533,US/Canada,"1,907","1,718","$336,577",Upper Mid-market,Existing,,RETAIL,AUTO DEALR-SVC,"Filling stations, gasoline",10/10/07,AC-00615121
Ultimate Software - EnterpriseTest,6197555,US/Canada,"10,878","3,619",$0,Upper Enterprise,Existing,,S&D,ENG-MGMT SVCS,"Product testing laboratory, safety or performance",11/27/13,AC-05960730
UNIVERSAL TECHNICAL INSTITUTE INC.,6182251,US/Canada,"3,714","8,782","$1,090,909",Enterprise,Existing,No,PUBLIC SECTOR - HE,HIGHER EDUC,Trade school,10/10/07,AC-00433185
UNIVERSITY OF REDLANDS,6181047,US/Canada,"2,300","1,542","$480,341",Upper Mid-market,Existing,,PUBLIC SECTOR - HE,HIGHER EDUC,University,01/09/19,AC-00617431
"UPSTATE CEREBRAL PALSY, INC. dba UPSTATE CARING PARTNERS",6189985,US/Canada,"1,680","1,759","$588,266",Upper Mid-market,Existing,,GOVT-EDUC,SOCIAL SERVICES,Social service center,10/10/07,AC-00647167
"USHG, LLC",6185986,US/Canada,"1,622","1,793","$444,338",Enterprise,Existing,No,S&D,ENG-MGMT SVCS,Restaurant management,10/10/07,AC-05719852
Vancouver Aquarium Ltd.,6197841,US/Canada,301,255,"$62,881",Emerging,Existing,,RETAIL,GENERAL MERCH,Aquarium supplies,01/11/12,AC-00582370
VCU HEALTH SYSTEM AUTHORITY,6011201,US/Canada,"14,363",46,$0,Enterprise,Existing,No,HEALTHCARE,HEALTH SERVICES,Offices and clinics of medical doctors,12/31/04,AC-00455686
"VECTRUS SYSTEMS, LLC",6196077,US/Canada,"10,012","9,039","$1,677,092",Upper Enterprise,Existing,No,S&D,ENG-MGMT SVCS,Computer facilities management,11/02/18,AC-00362900
VERTEX AEROSPACE LLC,6192469,US/Canada,"7,357","8,187","$3,435,088",Upper Enterprise,Existing,,TRANS-DIST,AIR TRANS,Aircraft maintenance and repair services,08/17/18,AC-00422493
Vibra Healthcare,6162993,US/Canada,"6,501","5,311","$710,875",Enterprise,Existing,No,HEALTHCARE,LONG TERM CARE,Convalescent home with continuous nursing care,12/28/16,AC-00900565
Visteon Corporation,6178867,US/Canada,450,"1,060","$783,430",Enterprise,Existing,,MFG,AUTOMOTIVE,Motor vehicle engines and parts,07/02/09,AC-00654949
WAJAX LIMITED,6196459,US/Canada,"3,517","3,312","$616,553",Enterprise,Existing,Yes  Active,S&D,BANKING AND INSURANCE,"Holding companies, nec",02/21/13,AC-00483863
WATTS WATER TECHNOLOGIES  INC.,6149195,US/Canada,"5,200","2,145","$483,117",Enterprise,Existing,,MFG,FABRCTD METALS,Plumbing and heating equipment and supplies (hydronics),12/22/17,AC-00612619
WENTE FAMILY ESTATES,6045506,US/Canada,250,211,"$103,626",Emerging,Existing,,S&D,ENG-MGMT SVCS,Restaurant and food services consultants,04/15/10,AC-00605300
WEST FRASER MILLS LTD,6188363,US/Canada,"13,002","7,559","$1,258,908",Enterprise,Existing,No,MFG,LUMBER-WOOD,"Sawmills and planing mills, general, nec",12/30/14,AC-04612085
WESTERN DENTAL SERVICES INC,6043313,US/Canada,"6,950","9,065","$1,814,533",Enterprise,Existing,No,HEALTHCARE,HEALTH SERVICES,Dental clinic,11/18/04,AC-00407180
"Westward Seafoods, Inc.",6196952,US/Canada,"1,135","1,321","$347,789",Mid-market,Existing,,MFG,FOOD-KINDRED,"Seafoods, fresh: prepared",05/26/10,AC-00604694
"WHITE DRIVE MOTORS & STEERING, LLC",6046990,US/Canada,172,168,"$38,953",Emerging,Existing,,MFG,AUTOMOTIVE,"Power steering equipment, motor vehicle",09/20/21,AC-00588868
WHITTLESEA BLUE CAB,6115772,US/Canada,"3,000",5,"$33,031",Enterprise,Existing,No,TRANS-DIST,LOCAL PASSENGER,Taxicabs,10/11/13,AC-00531492
WINPAK LTD,6196685,US/Canada,"4,800","2,237","$349,838",Enterprise,Existing,No,MFG,RUBBER-PLASTICS,"Packing materials, plastics sheet",07/29/19,AC-00538907
Wolf Steel Ltd,6197384,US/Canada,"1,210","1,188","$240,366",Mid-market,Existing,,MFG,FABRCTD METALS,"Logs, gas fireplace",09/30/10,AC-04685298
"Wurth Group of North America, Inc.",6184466,US/Canada,"4,359","4,291","$1,256,702",Enterprise,Existing,Yes  Active,TRANS-DIST,WHLSALE-DURABLE,Automotive supplies,07/01/19,AC-00496024
Wyckoff Heights Medical Center,6183514,US/Canada,"2,200","1,740","$1,361,318",Upper Mid-market,Existing,,HEALTHCARE,HOSPITALS,General medical and surgical hospitals,10/05/09,AC-03547568
YMCA of Metropolitan Chicago,6013069,US/Canada,"2,190","2,647","$614,082",Enterprise,Existing,,S&D,MEMBERSHIP ORGS,Youth organizations,07/03/04,AC-00376581
YOKOGAWA CORPORATION OF AMERICA,6196775,US/Canada,693,625,"$173,211",Mid-market,Existing,,MFG,INSTR RLTD PDTS,Ampere-hour meters,10/10/07,AC-00556363
YOUNG MEN'S CHRISTIAN ASSOCIATION OF DELAWARE,6197851,US/Canada,"1,836",990,"$207,161",Upper Mid-market,Existing,,HOSPITALITY,AMUSEMENT-REC,Physical fitness facilities,12/25/08,AC-04693891
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER KANSAS CITY,6182956,US/Canada,"1,609","1,402","$304,451",Upper Mid-market,Existing,,S&D,MEMBERSHIP ORGS,Youth organizations,10/10/07,AC-00637439
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER RICHMOND,6191570,US/Canada,"2,250","4,861","$486,959",Upper Mid-market,Existing,,S&D,MEMBERSHIP ORGS,Youth organizations,10/10/07,AC-00526239
,,,,,,,,,,,,,
"Applied filters:
Customer_Category is not (Blank) or Former
Customer_Product_Status__c is Created or Live
Name is UKG PRO TIME & ATTENDANCE (LM)
IsLiveYesNo is Yes
Parameter is Customer Count",,,,,,,,,,,,,
