Product,Flag Key,Created Date,Archived,Enabled In Prod,ukg-expiry-date,Rules Details,Fallthrough Variation,Variations,Default On Variation,Default Off Variation,jira issues,Description
WFM-Classic,allow-protime-wfm-classic-timeoff-accrual-cal-of-first-prorate-year,4/7/26 17:36,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag To enable and disable Accrual Calculation for First Prorate Year; name=Disabled, value=false, description=Disable Feature Flag To enable and disable Accrual Calculation for First Prorate Year",Enabled (true),Disabled (false),PS-771247,Feature Flag To enable and disable Accrual Calculation for First Prorate Year.
WFM-Classic,allow-protime-wfm-classic-timeoff-future-policy-pto,5/6/26 9:37,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag To enable Future Policy PTO process for Time Off.; name=Disabled, value=false, description=Disable Feature Flag To disable Future Policy PTO process for Time Off.",Enabled (true),Disabled (false),PS-656808,Feature Flag To enable and disable Future Policy PTO process for Time Off.
WFM-Classic,allow-protime-wfm-classic-timeoff-handle-null-future-hired-emp,3/30/26 11:11,FALSE,TRUE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag To manage Null Exception on status for Future Hired Employee.; name=Disabled, value=false, description=Disable Feature Flag To manage Null Exception on status for Future Hired Employee.",Enabled (true),Disabled (false),PS-558263,Feature Flag To manage Null Exception on status for Future Hired Employee.
WFM-Classic,allow-protime-wfm-classic-timeoff-payroll-api2-paydiag-enhancement,3/30/26 11:11,FALSE,TRUE,12/31/26,"tenant.tenant in [ESL1001ELSE, BOM1001BOCOR, HOL1001HOLT, INF5000IFTC, STV1002VNC, BER1021BRLN, CEN1026CENM, CRO5000CRF, LAM1000LAC, UNI5003UWAC, ADV1023AVR] -> var: true (Enabled)",Disabled (false),"name=Enabled, value=true, description=Enable Feature Flag To enhance Error Messages in Pay Diagnostics for payroll API2; name=Disabled, value=false, description=Disable Feature Flag To enhance Error Messages in Pay Diagnostics for payroll API2",Enabled (true),Disabled (false),PS-630172,Feature Flag To enhance Error Messages in Pay Diagnostics for payroll API2.
WFM-Classic,allow-protime-wfm-classic-timeoff-payroll-paystub-remaining-balance-fix,5/20/26 10:34,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable Feature Flag to fix paystub remaining balance showing stale positive value for employees who no longer qualify.; name=Disabled, value=false, description=Disable Feature Flag to fix paystub remaining balance showing stale positive value for employees who no longer qualify.",Enabled (true),Disabled (false),PS-792633,"Feature Flag to fix paystub remaining balance showing stale positive value for employees who no longer qualify, by flooring at zero and capping at the policy max annual usage instead of subtracting taken from maxPermitted."
WFM-Classic,allow-protime-wfm-classic-visible-balance-configurations,3/30/26 13:13,FALSE,FALSE,12/31/27,,Enabled (true),"name=Enabled, value=true, description=Feature Flag To manage Visible Balance Configurations in Time Off Policy.; name=Disabled, value=false, description=Feature Flag To manage Visible Balance Configurations in Time Off Policy.",Enabled (true),Disabled (false),PS-758274,Feature Flag To manage Visible Balance Configurations in Time Off Policy.
WFM-Classic,enable-wfm-classic-pro-ignite-lite,2/23/26 20:03,FALSE,TRUE,12/31/27,,TRUE,"name=, value=true, description=; name=, value=false, description=",TRUE,FALSE,PS-732981,Controls whether to display ignite lite style in WFM Classic pages in Ukg Pro Core.
WFM-Classic,fix-protime-wfm-classic-timeoff-policy-year,3/30/26 15:56,FALSE,FALSE,12/31/26,,Enabled (true),"name=Enabled, value=true, description=Enable policy year fix - Timeoff Enable Policy Year Fix; name=Disabled, value=false, description=Disable policy year fix - Timeoff Enable Policy Year Fix",Enabled (true),Disabled (false),PS-656808,Feature Flag To Timeoff Enable Policy Year Fix.
WFM-Classic,protime-wfm-classic-global-ptms-deprecated,3/19/26 13:30,FALSE,FALSE,12/31/26,,Enable (true),"name=Enable, value=true, description=Flag will be turned ON; name=Disable, value=false, description=Flag will be turned OFF",Enable (true),Disable (false),PS-799783,This flag will be used to handle PTMS Deprecation gracefully
WFM-Classic,allow-protime-wfm-classic-timeoff-dataimportcontroller-vulnerability,3/24/26 10:53,FALSE,TRUE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Allowed canonical path check for time off data import controller; name=Disallowed, value=false, description=Disallowed canonical path check for time off data import controller",Allowed (true),Disallowed (false),PS-750819,Feature Flag to fix security vulnerability in Time Off data import controller for WFM Classic
WFM-Classic,protime-wfm-classic-time-off-globalExportOptimization,2/17/26 13:51,FALSE,TRUE,12/31/26,tenant.tenant in [BET1000BCOR] -> var: true (Allowed),Disallowed (false),"name=Allowed, value=true, description=Allowed batch processing for time off global export; name=Disallowed, value=false, description=Disallowed batch processing for time off global export",Allowed (true),Disallowed (false),PS-691666,Feature Flag to optimize global export by introducing batch processing
WFM-Classic,allow-protime-wfm-classic-time-off-logtoaprocessingerror,4/6/26 17:32,FALSE,TRUE,12/31/27,enabling it for tenant: tenant.tenant in [CIT1034EGW] -> var: true (Allowed),Disallowed (false),"name=Allowed, value=true, description=Allowed log TOA Error processing request; name=Disallowed, value=false, description=Disallowed log TOA Error processing request",Allowed (true),Disallowed (false),PS-722820,Feature Flag to log TOA Error Processing Request on WFM Classic
WFM-Classic,protime-wfm-classic-time-off-payrollApi2Optimization,2/17/26 10:31,FALSE,TRUE,12/31/26,"Enabling it for 1 tenant: tenant.tenant in [INF5000IFTC, ESL1001ELSE, BOM1001BOCOR, HOL1001HOLT, STV1002VNC, BER1021BRLN, CEN1026CENM, CRO5000CRF, LAM1000LAC, UNI5003UWAC, ADV1023AVR ] -> var: true (Allowed)",Disallowed (false),"name=Allowed, value=true, description=Allowed stored XSS protection for WFM Classic reports; name=Disallowed, value=false, description=Disallowed stored XSS protection for WFM Classic reports",Allowed (true),Disallowed (false),PS-725094,Feature Flag to remove 0 values while fetching accruals in API2.
WFM-Classic,allow-protime-wfmclassic-time-off-time-employeesuspendedtoarequest,4/23/26 6:27,FALSE,FALSE,12/31/27,,Allowed (true),"name=Allowed, value=true, description=Time off Request Approval in the time off suspension is restricted in TOA and TA; name=Disallowed, value=false, description=Time off Request Approval in the time off suspension is allowed in TOA and TA which is causing issues for some of the customers",Allowed (true),Disallowed (false),PS-558263,Feature Flag to fix Time off Request Approval in the time off suspension is being failed in TOA
